step,loss,mean_r,kl,entropy,token_adv
0,0.05654871463775635,0.43950554728507996,0.0,0.6114625334739685,0.4
10,0.055101167410612106,0.35475924611091614,0.04207354784011841,0.3634006977081299,0.1167706310749054
20,0.11225952953100204,0.6454278230667114,0.045464870333671574,0.35859188437461853,0.06927127838134767
30,-0.14722727239131927,0.4918960630893707,0.007056000083684922,0.43992874026298523,0.39203405380249023
40,-0.159061461687088,0.39004379510879517,-0.037840124964714054,0.6840428113937378,0.17089999318122864
50,0.047468699514865875,0.7139750123023987,-0.04794621467590332,0.44130629301071167,0.03218569755554199
60,-0.16904734075069427,0.63963782787323,-0.013970774412155152,0.45260655879974365,0.36877079010009767
70,-0.13128449022769928,0.46759966015815735,0.03284932971000672,0.3337112069129944,0.22734744250774386
80,-0.041865915060043335,0.24029730260372162,0.04946791231632233,0.5563772320747375,0.008468103408813488
90,0.13032741844654083,0.4048507809638977,0.020605924725532535,0.5696167945861816,0.3320633411407471
